bus,p_nom,p_min_pu,type
St Fergus,3742.8436938729074,0.5,Methane Reformation with CCUS
Grangemouth,3742.8436938729074,0.5,Methane Reformation with CCUS
Teesside,3742.8436938729074,0.5,Methane Reformation with CCUS
Humberside,3742.8436938729074,0.5,Methane Reformation with CCUS
Theddlethorpe,3742.8436938729074,0.5,Methane Reformation with CCUS
Merseyside,3742.8436938729074,0.5,Methane Reformation with CCUS
Barrow,0.0,0.5,Methane Reformation with CCUS
Bacton,3742.8436938729074,0.5,Methane Reformation with CCUS
Grain LNG,0.0,0.5,Methane Reformation with CCUS
Southampton,0.0,0.5,Methane Reformation with CCUS
South Wales,0.0,0.5,Methane Reformation with CCUS
